date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-03-01,6.6,4.4,10.1,7.1,,222,27.8,,988.8,
2020-03-02,5.7,3.8,10.1,5.1,,223,14.1,,990.4,
2020-03-03,5.1,1.4,10.1,0.3,,247,14.8,,1002.5,
2020-03-04,4.7,-0.1,8,0.8,,138,9.2,,1007.4,
2020-03-05,5.7,5,6.1,5.6,,112,16.4,,995.1,
2020-03-06,5.7,2.4,9.8,10.2,,300,9.8,,1005.3,
2020-03-07,7.8,1.8,12.7,0,,219,18.8,,1015,
2020-03-08,9.9,6.1,13.2,0.5,,225,27.6,,1006.1,
2020-03-09,7.7,4.5,10.7,2.3,,235,21.8,,1011.1,
2020-03-10,12.7,6.3,15,7.6,,246,30.6,,1005,
2020-03-11,11.1,7.9,15.4,0,,,,,1008.5,
2020-03-12,7.6,4.4,10.9,1.8,,247,33,,1010.1,
2020-03-13,8.3,5.4,12.8,1.5,,,19.5,,1017.4,
2020-03-14,9.4,6.5,12.7,2.8,,185,19.8,,1013.7,
2020-03-15,9.4,6.7,11.8,0.8,,,19.5,,1008.6,
2020-03-16,7.6,3.5,12.6,2.3,,,10.3,,1021.1,
2020-03-17,9.1,4.4,13.1,0,,210,19.2,,1027.2,
2020-03-18,11.6,9.4,15,0,,211,19.2,,1024.7,
2020-03-19,7.2,6,8.1,0.8,,42,13.5,,1026.2,
2020-03-20,7.2,6,10.1,0.8,,46,19.7,,1028.5,
2020-03-21,6.4,3.8,10.3,0,,65,21,,1026.4,
2020-03-22,6.8,3.3,10.9,0,,,14.4,,1026.5,
2020-03-23,6.6,2.5,13.7,0,,,14.1,,1026.6,
2020-03-24,8.1,0.4,15.1,0,,132,10.5,,1025.7,
2020-03-25,7.1,0.3,13.8,0,,,7.4,,1024.5,
2020-03-26,6.7,1.1,13.8,0,,,11.8,,1023.3,
2020-03-27,7.3,1.4,13.9,0,,42,14.5,,1023.9,
2020-03-28,7.1,4.5,11.8,0,,,17.6,,1029,
2020-03-29,4.9,2,8.1,0,,,,,1037.5,
2020-03-30,5.7,2,10.2,0,,,13,,1034.9,
2020-03-31,5.9,2.6,10.1,0,,47,13.6,,1031.5,
2020-04-01,5.2,-0.9,9.2,0,,255,6.2,,1024.4,
2020-04-02,9,5.4,13.3,0,,273,15.3,,1016.3,
2020-04-03,9.6,7.2,13.8,0,,253,8.5,,1017.6,
2020-04-04,9.4,3.3,16.1,0,,,10.8,,1020.1,
2020-04-05,14,6.6,21.2,0,,133,19.4,,1014,
2020-04-06,12.9,10.5,17.3,0.5,,229,14.2,,1016.7,
